req_id	category	threshold	unit	logic_trigger	description,category,threshold,unit,logic_trigger,description
MECH-TOW-01	ME	250	lbs	tow,haul,weight,payload,load	Payload Capacity: 250 lbs net cargo weight.,Payload Capacity: 250 lbs net cargo weight.
MECH-FRAME-01	ME	1	inch	steel,tube,frame,chassis	Structural standard: Square steel tubing size.,"steel,tube,frame,chassis",Structural standard: Square steel tubing size.
MECH-TORQ-01	ME	85	percent	torque,stall,motor,hill,incline	Max motor stall torque sufficient for 250 lbs at 5 degrees or Unloaded at 10 degrees.,Max motor stall torque allowed on 20-degree inclines.
ELEC-BUS-MAIN	ME	24	V	battery,bus,primary,dc,voltage	Main system drive bus voltage (2x12V Series).,Main system drive bus voltage (2x12V Series).
ELEC-BRK-MAIN	ME	80	A	breaker,main,protection,amperage,current	Master Circuit Breaker rating.,Master Circuit Breaker rating.
ELEC-FUSE-MOT	ME	40	A	motor,fuse,controller,drive	Individual fuse rating for motor controllers.,"motor,fuse,controller,drive",Individual fuse rating for motor controllers.
ELEC-FUSE-JET	ME	3	A	jetson,fuse,compute,brain	Slow-blow fuse rating for Jetson power rail.,"jetson,fuse,compute,brain",Slow-blow fuse rating for Jetson power rail.
ELEC-FUSE-5V	ME	7.5	A	buck,sensors,5v,fuse	Fuse rating for the 5V Buck Converter rail.,"buck,sensors,5v,fuse",Fuse rating for the 5V Buck Converter rail.
ELEC-FUSE-SAFE	ME	2	A	safety,loop,estop,fuse	Fuse rating for the E-Stop Safety Loop Start.,"safety,loop,estop,fuse",Fuse rating for the E-Stop Safety Loop Start.
ELEC-JET-IN	ME	19	V	jetson,input,power,ovp	Target DC input voltage for Jetson via OVP Crowbar.,"jetson,input,power,ovp",Target DC input voltage for Jetson via OVP Crowbar.
PCB-TRACE-HV	ME	4	mm	trace,width,pcb,copper,power	Min trace width for 24V high-current lines.,Min trace width for 24V high-current lines.
PCB-KEEPOUT	ME	2	mm	keepout,isolation,clearance,gap	Min isolation gap between HV and Logic sections.,"keepout,isolation,clearance,gap",Min isolation gap between HV and Logic sections.
NAV-RTK-ACC	SW	2.5	cm	rtk,precision,fixed,accuracy,error	Max allowable positional error for navigation tasks.,Max allowable positional error for navigation tasks.
NAV-LINK-FREQ	SW	915	MHz	lora,radio,link,frequency,telemetry	Required frequency for RTK Correction Sub-Link.,Required frequency for RTK Correction Sub-Link.
SOFT-LAT-MAX	SW	50	ms	latency,lag,reflex,heartbeat,delay	Max sensor-to-actuator latency for safety reflexes.,Max sensor-to-actuator latency for safety reflexes.
SOFT-PWM-HB	SW	1000	Hz	pwm,heartbeat,frequency,pulse	Required frequency for Jetson-to-ESP32 safety heartbeat.,"pwm,heartbeat,frequency,pulse",Required frequency for Jetson-to-ESP32 safety heartbeat.
SOFT-COMP-MAX	SW	85	percent	utilization,cpu,gpu,overhead,load	Max compute load on Orin Nano.,Max compute load on Orin Nano.
SENS-US-QTY	SW	5	count	ultrasonic,sonar,sensors,array	Required number of ultrasonic sensors (Master Design Doc II).,"ultrasonic,sonar,sensors,array",Required number of ultrasonic sensors (Master Design Doc II).
